name	x	y	z	size	material
BR12	63.4203	-44.5822	2.09832	2	medical-grade stainless steel
BR13	66.7318	-45.6588	4.02957	2	medical-grade stainless steel
BR14	69.2059	-46.7802	5.92323	2	medical-grade stainless steel
C1	-4.2868	22.289	-12.3956	2	medical-grade stainless steel
C2	-7.77202	23.0186	-9.64481	2	medical-grade stainless steel
C3	-10.8497	23.7817	-6.88837	2	medical-grade stainless steel
C4	-14.7021	24.0484	-4.0213	2	medical-grade stainless steel
C5	-17.8212	24.7886	-1.30858	2	medical-grade stainless steel
C6	-21.7925	25.6103	2.13485	2	medical-grade stainless steel
C7	-24.4172	26.2884	4.16402	2	medical-grade stainless steel
C8	-27.0868	27.0587	6.9313	2	medical-grade stainless steel
C9	-30.947	27.345	9.74784	2	medical-grade stainless steel
C10	-34.4764	28.522	12.4088	2	medical-grade stainless steel
C11	-37.0802	28.7253	14.5425	2	medical-grade stainless steel
C12	-40.5411	29.4729	17.3146	2	medical-grade stainless steel
C13	-43.665	30.214	20.0282	2	medical-grade stainless steel
C14	-47.1505	30.9702	22.7742	2	medical-grade stainless steel
C15	-50.6047	31.7056	25.5611	2	medical-grade stainless steel
C16	-54.596	32.5368	28.9767	2	medical-grade stainless steel
CR1	4.09802	22.7485	-12.0316	2	medical-grade stainless steel
CR2	7.3675	23.1296	-10.377	2	medical-grade stainless steel
CR3	11.8362	24.1893	-8.00878	2	medical-grade stainless steel
CR4	15.2407	24.7885	-5.65165	2	medical-grade stainless steel
CR5	18.7899	25.2368	-3.25704	2	medical-grade stainless steel
CR6	21.646	25.5956	-1.6205	2	medical-grade stainless steel
CR7	25.7085	26.6189	0.72161	2	medical-grade stainless steel
CR8	29.7925	27.1646	3.14783	2	medical-grade stainless steel
CR9	32.6664	27.5481	4.75948	2	medical-grade stainless steel
CR10	36.3329	28.4293	6.34884	2	medical-grade stainless steel
CR11	40.0097	28.9651	8.74414	2	medical-grade stainless steel
CR12	43.6751	29.4884	11.1516	2	medical-grade stainless steel
CR13	47.3391	29.9433	12.8033	2	medical-grade stainless steel
CR14	51.03	30.9178	15.1241	2	medical-grade stainless steel
CR15	54.7058	31.3354	16.8048	2	medical-grade stainless steel
CR16	58.4293	31.7496	18.4468	2	medical-grade stainless steel
DR1	2.5724	38.5229	3.26901	2	medical-grade stainless steel
DR2	5.44668	38.7616	3.38145	2	medical-grade stainless steel
DR3	9.71894	39.0404	2.79448	2	medical-grade stainless steel
DR4	13.9449	38.9116	2.28453	2	medical-grade stainless steel
DR5	16.9096	39.1107	2.4097	2	medical-grade stainless steel
DR6	20.6778	39.1618	1.83929	2	medical-grade stainless steel
DR7	24.0612	39.3833	1.98327	2	medical-grade stainless steel
DR8	27.8293	39.4344	1.41286	2	medical-grade stainless steel
DR9	31.5973	39.6356	1.58208	2	medical-grade stainless steel
DR10	35.0538	39.7109	0.9897	2	medical-grade stainless steel
DR11	38.3302	39.8858	1.13684	2	medical-grade stainless steel
DR12	42.553	39.9167	0.59554	2	medical-grade stainless steel
DR13	45.5176	40.1193	0.720014	2	medical-grade stainless steel
DR14	49.7078	40.0294	0.200486	2	medical-grade stainless steel
ER1	37.6075	-17.1769	-2.37312	2	medical-grade stainless steel
ER2	40.5042	-17.0631	-2.23505	2	medical-grade stainless steel
ER3	44.7949	-16.9433	-2.78997	2	medical-grade stainless steel
ER4	48.5271	-16.7032	-2.63033	2	medical-grade stainless steel
ER5	52.748	-16.587	-3.18838	2	medical-grade stainless steel
ER6	56.1024	-16.6532	-2.98986	2	medical-grade stainless steel
ER7	60.3234	-16.5371	-3.54791	2	medical-grade stainless steel
ER8	63.6727	-16.3582	-3.39749	2	medical-grade stainless steel
ER9	67.4301	-16.2282	-3.9839	2	medical-grade stainless steel
ER10	70.821	-15.9259	-3.85531	2	medical-grade stainless steel
FR1	3.21784	-46.8083	26.8831	2	medical-grade stainless steel
FR2	7.04973	-46.0157	26.1715	2	medical-grade stainless steel
FR3	10.7918	-45.1505	25.4407	2	medical-grade stainless steel
FR4	14.1259	-44.2366	25.4467	2	medical-grade stainless steel
FR5	17.9129	-43.4077	24.7255	2	medical-grade stainless steel
FR6	21.2469	-42.4938	24.7316	2	medical-grade stainless steel
FR7	24.5412	-41.7886	24.7762	2	medical-grade stainless steel
FR8	27.9884	-40.9757	24.0393	2	medical-grade stainless steel
FR9	40.9456	-37.8448	22.6072	2	medical-grade stainless steel
FR10	43.9109	-37.2347	22.6522	2	medical-grade stainless steel
FR11	47.6531	-36.3695	21.9214	2	medical-grade stainless steel
FR12	50.977	-35.5597	21.8396	2	medical-grade stainless steel
FR13	54.3555	-34.6489	21.1875	2	medical-grade stainless steel
FR14	58.561	-33.7977	20.4851	2	medical-grade stainless steel
FR15	61.4815	-33.1513	20.5205	2	medical-grade stainless steel
FR16	65.2634	-32.0773	19.7512	2	medical-grade stainless steel
GR1	9.499	47.8963	-17.4007	2	medical-grade stainless steel
GR2	12.772	47.8636	-15.6964	2	medical-grade stainless steel
GR3	16.5324	47.7	-14.6664	2	medical-grade stainless steel
GR4	20.6611	47.4981	-13.6296	2	medical-grade stainless steel
GR5	23.6018	47.3145	-12.6622	2	medical-grade stainless steel
GR6	26.927	47.1106	-11.6694	2	medical-grade stainless steel
GR7	30.2524	46.9068	-10.6767	2	medical-grade stainless steel
GR8	33.4995	47.1075	-9.76733	2	medical-grade stainless steel
GR9	36.8589	46.9463	-8.78106	2	medical-grade stainless steel
GR10	40.1727	46.7301	-7.77623	2	medical-grade stainless steel
GR11	43.498	46.5263	-6.78353	2	medical-grade stainless steel
GR12	48.4855	46.0414	-4.8854	2	medical-grade stainless steel
H1	-20.9075	-5.03955	-17.9762	2	medical-grade stainless steel
H2	-23.3534	-4.79491	-18.1593	2	medical-grade stainless steel
H3	-27.1977	-4.88467	-18.3545	2	medical-grade stainless steel
H4	-30.7957	-4.7222	-17.8164	2	medical-grade stainless steel
H5	-34.3595	-4.66723	-18.0243	2	medical-grade stainless steel
H6	-37.7088	-4.84604	-18.1747	2	medical-grade stainless steel
H7	-41.2675	-5.03603	-18.3345	2	medical-grade stainless steel
H8	-45.0339	-4.83353	-17.8135	2	medical-grade stainless steel
H9	-48.4292	-4.81847	-18.0043	2	medical-grade stainless steel
H10	-51.9879	-5.00845	-18.1641	2	medical-grade stainless steel
H11	-55.5517	-4.95349	-18.3721	2	medical-grade stainless steel
H12	-59.1155	-4.8984	-18.58	2	medical-grade stainless steel
H13	-62.7084	-4.981	-17.9938	2	medical-grade stainless steel
H14	-66.2721	-4.92591	-18.2017	2	medical-grade stainless steel
HR1	19.6056	-7.56606	-20.6238	2	medical-grade stainless steel
HR2	22.6349	-7.87034	-21.1658	2	medical-grade stainless steel
HR3	26.3436	-7.5609	-21.021	2	medical-grade stainless steel
HR4	30.1457	-7.46713	-21.5978	2	medical-grade stainless steel
HR5	33.4951	-7.28832	-21.4474	2	medical-grade stainless steel
HR6	37.3024	-7.43962	-21.9761	2	medical-grade stainless steel
HR7	40.6517	-7.26081	-21.8257	2	medical-grade stainless steel
HR8	44.4539	-7.16704	-22.4026	2	medical-grade stainless steel
HR9	47.8033	-6.98823	-22.2521	2	medical-grade stainless steel
HR10	51.6056	-6.89445	-22.829	2	medical-grade stainless steel
HR11	54.9549	-6.71565	-22.6786	2	medical-grade stainless steel
HR12	59.103	-6.60341	-23.2399	2	medical-grade stainless steel
HR13	62.1065	-6.44306	-23.105	2	medical-grade stainless steel
HR14	66.7461	-6.30458	-23.6442	2	medical-grade stainless steel
VR1	37.2837	7.66261	-11.8537	2	medical-grade stainless steel
VR2	40.2245	7.32905	-11.6258	2	medical-grade stainless steel
VR3	44.207	7.29631	-11.3991	2	medical-grade stainless steel
VR4	47.5614	7.23005	-11.2005	2	medical-grade stainless steel
VR5	51.1701	7.1387	-10.983	2	medical-grade stainless steel
VR6	55.1469	6.78989	-11.4638	2	medical-grade stainless steel
VR7	58.7107	6.73493	-11.2559	2	medical-grade stainless steel
VR8	62.1084	6.70975	-11.063	2	medical-grade stainless steel
X1	-31.2192	34.1663	-19.2698	2	medical-grade stainless steel
X2	-31.0505	34.925	-14.0364	2	medical-grade stainless steel
X3	-30.8269	35.2517	-8.70535	2	medical-grade stainless steel
X4	-30.6695	35.8177	-4.2044	2	medical-grade stainless steel
X5	-30.4581	36.1596	1.13383	2	medical-grade stainless steel
X6	-30.3028	36.551	7.2174	2	medical-grade stainless steel
X7	-30.1386	36.8905	12.5535	2	medical-grade stainless steel
X8	-29.9682	37.5663	17.8026	2	medical-grade stainless steel
X9	-30.1186	37.7786	22.3768	2	medical-grade stainless steel
X10	-29.9057	38.0899	27.6999	2	medical-grade stainless steel
X11	-29.692	38.6066	31.4555	2	medical-grade stainless steel
X12	-29.5026	38.8904	36.793	2	medical-grade stainless steel
X13	-29.6294	38.98	40.6131	2	medical-grade stainless steel
X14	-29.45	39.604	45.1148	2	medical-grade stainless steel
X15	-29.2946	39.9953	51.1984	2	medical-grade stainless steel
X16	-29.107	40.3646	56.5191	2	medical-grade stainless steel
XR1	15.4369	20.941	-21.0371	2	medical-grade stainless steel
XR2	15.6946	21.1603	-16.4521	2	medical-grade stainless steel
XR3	15.8519	21.8775	-11.2113	2	medical-grade stainless steel
XR4	16.065	22.1366	-5.85726	2	medical-grade stainless steel
XR5	16.2544	22.4205	-0.51974	2	medical-grade stainless steel
XR6	16.7786	22.4356	5.64688	2	medical-grade stainless steel
XR7	16.9905	22.7524	10.9901	2	medical-grade stainless steel
XR8	17.2101	23.1953	15.4943	2	medical-grade stainless steel
XR9	17.3627	23.6399	21.6023	2	medical-grade stainless steel
XR10	17.5947	23.5617	27.0129	2	medical-grade stainless steel
XR11	18.1103	23.9852	33.0993	2	medical-grade stainless steel
XR12	18.2898	24.3241	39.2053	2	medical-grade stainless steel
XR13	18.5354	24.5587	43.7975	2	medical-grade stainless steel
XR14	18.7221	25.0265	50.5807	2	medical-grade stainless steel
XR15	19.2082	25.5632	57.4684	2	medical-grade stainless steel
XR16	19.6605	25.9071	63.6229	2	medical-grade stainless steel
Y1	-36.6385	1.11474	-8.5142	2	medical-grade stainless steel
Y2	-36.7006	-0.373259	-5.15146	2	medical-grade stainless steel
Y3	-36.4516	-2.99998	0.778605	2	medical-grade stainless steel
Y4	-36.1846	-4.43199	4.89651	2	medical-grade stainless steel
Y5	-36.2834	-6.31446	9.12419	2	medical-grade stainless steel
Y6	-36.0175	-8.12799	14.0854	2	medical-grade stainless steel
Y7	-35.7791	-10.7703	20.0073	2	medical-grade stainless steel
Y8	-35.9214	-12.5905	24.9579	2	medical-grade stainless steel
Y9	-35.6795	-14.7867	30.7614	2	medical-grade stainless steel
Y10	-35.8011	-16.6704	34.9881	2	medical-grade stainless steel
Y11	-35.5387	-18.93	40.0676	2	medical-grade stainless steel
Y12	-35.681	-20.7502	45.0183	2	medical-grade stainless steel
Y13	-35.4166	-22.5339	49.9947	2	medical-grade stainless steel
Y14	-35.5742	-25.1974	55.8987	2	medical-grade stainless steel
Y15	-35.3685	-27.7618	62.5517	2	medical-grade stainless steel
Y16	-35.1752	-30.3121	69.2117	2	medical-grade stainless steel
YR1	36.0704	-2.15903	-6.15883	2	medical-grade stainless steel
YR2	35.9607	-4.05713	-1.9394	2	medical-grade stainless steel
YR3	36.2386	-5.4735	2.18675	2	medical-grade stainless steel
YR4	36.0842	-7.27954	7.14432	2	medical-grade stainless steel
YR5	36.3227	-9.92188	13.0661	2	medical-grade stainless steel
YR6	36.191	-11.7268	18.0248	2	medical-grade stainless steel
YR7	36.4448	-13.5258	22.9932	2	medical-grade stainless steel
YR8	36.7105	-15.3393	27.9544	2	medical-grade stainless steel
YR9	36.6702	-17.4875	33.0185	2	medical-grade stainless steel
YR10	36.8158	-19.7567	38.85	2	medical-grade stainless steel
YR11	37.0696	-21.5557	43.8184	2	medical-grade stainless steel
YR12	37.3219	-23.3254	48.8017	2	medical-grade stainless steel
YR13	37.5502	-25.8885	55.4558	2	medical-grade stainless steel
YR14	37.4199	-27.3119	59.571	2	medical-grade stainless steel
YR15	37.6842	-29.0956	64.5474	2	medical-grade stainless steel
YR16	37.9261	-31.2919	70.351	2	medical-grade stainless steel
DC01	0	0	0	0	n/a
DC02	0	0	0	0	n/a
DC03	0	0	0	0	n/a
DC04	0	0	0	0	n/a
DC09	0	0	0	0	n/a
DC10	0	0	0	0	n/a
DC11	0	0	0	0	n/a
DC12	0	0	0	0	n/a
DC13	0	0	0	0	n/a
DC14	0	0	0	0	n/a
DC15	0	0	0	0	n/a
DC16	0	0	0	0	n/a
EKG1	0	0	0	0	n/a
EKG2	0	0	0	0	n/a
